Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Tungtvann,Nord og Ned,CD,2000,TRUE,FALSE,FALSE,,,
Tungtvann,Reinspikka Hip Hop EP,CD EP,2000,TRUE,FALSE,FALSE,,,
Tungtvann,Hold det nede,CDS,2000,TRUE,FALSE,FALSE,,,
Tungtvann,96 %,CDA,2000,TRUE,FALSE,FALSE,,,
URO,Snakker Så Du Skjønner,12’’ EP,2000,FALSE,FALSE,FALSE,,,
Apollo,Hvite Netter,12’’,2001,FALSE,FALSE,TRUE,,,
Apollo,Hvite Netter,CDS,2001,TRUE,FALSE,FALSE,,,
Busta Ofte,Busta Ofte,CDS,2001,FALSE,FALSE,FALSE,,,
Busta Ofte,Busta Ofte EP,EP 12’’,2001,FALSE,FALSE,FALSE,,,
Busta Ofte,Busta Ofte EP,EP CD,2001,FALSE,FALSE,FALSE,,,
Da Streetwise Boyz,Sarp World Trade Center,Demo,2001,FALSE,FALSE,FALSE,,,
Diaz & Kevin,Takk / 1 Av 5,12’’,2001,TRUE,FALSE,FALSE,,,
Diverse artister,Project EP,12’’,2001,FALSE,FALSE,FALSE,,,
DJ Blam,Rock The Discotheque,12’’,2001,FALSE,FALSE,FALSE,,,
DJ DeeLah,Fat Shit Volume I,Mixape/demo/samle,2001,FALSE,FALSE,FALSE,,,
Don Martin,The Al Dente EP,12’’,2001,TRUE,FALSE,TRUE,,,
Don Martin,The Al Dente EP,CD,2001,FALSE,FALSE,TRUE,,,
Endre Modus,instruMENTALT forstyrra,CD,2001,FALSE,FALSE,FALSE,,,
Evig Poesi,Åndelig Føde EP,CDS,2001,FALSE,FALSE,FALSE,,,
Evig Poesi,Åndelig Føde EP,12’’,2001,FALSE,FALSE,FALSE,,,
Fade & Paddywax,2001: En Mixtapeodysse,Mixtape,2001,FALSE,FALSE,FALSE,,,
Fade & Paddywax,Friistiiil,Mixtape,2001,FALSE,FALSE,FALSE,,,
Farell,En-To-Tre,CDS,2001,FALSE,FALSE,FALSE,,,
Fat Shit,Volume I,Mixtape,2001,FALSE,FALSE,FALSE,,,
Fremmed Rase,Horisontal Fortellerkunst,12’’,2001,FALSE,FALSE,FALSE,,,
Faa Paa Krew,Absolutt Faa Paa Vol. 1,Mixape/demo/samle,2001,FALSE,FALSE,FALSE,,,
Gatas Parlament,La raseriet strømme,CD,2001,FALSE,FALSE,FALSE,,,
Gatas Parlament,La Raseriet Strømme,12’’,2001,TRUE,FALSE,FALSE,,,
Jester & Don Martin,No Introduction Needed,12’’,2001,TRUE,FALSE,FALSE,,,
Kenneth,Kenneths rike,Mixape/demo/samle,2001,FALSE,FALSE,FALSE,,,
Kenneth,Livet E'Hærlig,Demo CD,2001,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Tykt og Tynt,CDS,2001,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Bjølsen Hospital,CD,2001,TRUE,FALSE,TRUE,,,
Mr. Milo. Lil' Danny & Friends,Song To Benjamin,CD,2001,FALSE,FALSE,FALSE,,,
